DreamWorks Kung Fu Panda,71,5.5,DS,June 3, 2008,/game/ds/dreamworks-kung-fu-panda,https://static.metacritic.com/images/products/games/6/4482a34795d0d6781e880ba09ac60517-98.jpg
Guitar Hero: On Tour,71,8.2,DS,June 22, 2008,/game/ds/guitar-hero-on-tour,https://static.metacritic.com/images/products/games/5/01afd8a4115820d32be414c9afc8508b-98.jpg
Over the Hedge,71,7.0,DS,May 5, 2006,/game/ds/over-the-hedge,https://static.metacritic.com/images/products/games/6/a7736df6fe38f51ffc8d97f448e1d9dc-98.jpg
FIFA World Cup: Germany 2006,71,7.3,DS,April 24, 2006,/game/ds/fifa-world-cup-germany-2006,https://static.metacritic.com/images/products/games/0/efb5d13f811303930e14617a5d651a0f-98.jpg
Draglade,71,7.5,DS,December 4, 2007,/game/ds/draglade,https://static.metacritic.com/images/products/games/1/9d0081cf8d9bb2c40b3dda43faf47451-98.jpg
Bird & Beans,71,7.6,DS,April 5, 2009,/game/ds/bird-beans,https://static.metacritic.com/images/products/games/7/b394eb8430508aa42ff79d18a459ac4f-98.jpg
Final Fantasy: The 4 Heroes of Light,71,8.7,DS,October 5, 2010,/game/ds/final-fantasy-the-4-heroes-of-light,https://static.metacritic.com/images/products/games/6/8b9548d359aa9186c1be9b718821b0fd-98.jpg
Space Bust-A-Move,71,tbd,DS,July 28, 2009,/game/ds/space-bust-a-move,https://static.metacritic.com/images/products/games/6/0f25a4da5a1172d49c68998266060e40-98.jpg
Super Collapse 3,71,tbd,DS,October 30, 2007,/game/ds/super-collapse-3,https://static.metacritic.com/images/products/games/5/6e22a62d1f2415fe545e0e0b35a40a0f-98.jpg
Avalon Code,71,7.8,DS,March 10, 2009,/game/ds/avalon-code,https://static.metacritic.com/images/products/games/5/1d0cb214f015140a95421b21422734f6-98.jpg
Pac-Pix,71,7.3,DS,April 26, 2005,/game/ds/pac-pix,https://static.metacritic.com/images/products/games/1/8209b9e8354b6fb4934af95db84167ae-98.jpg
Digimon World DS,71,7.9,DS,November 7, 2006,/game/ds/digimon-world-ds,https://static.metacritic.com/images/products/games/7/81ba5e3687f0844c57fbddaa5a507e72-98.jpg
Save the Turtles,71,7.9,DS,March 29, 2010,/game/ds/save-the-turtles,https://static.metacritic.com/images/products/games/0/b4c3c5ab3fb39711e4f2dcc51a29da15-98.jpg
Resident Evil: Deadly Silence,71,8.4,DS,February 7, 2006,/game/ds/resident-evil-deadly-silence,https://static.metacritic.com/images/products/games/8/d654f0d27404875dbff72ba56a4ae76a-98.jpg
Spectrobes: Beyond the Portals,70,7.6,DS,October 7, 2008,/game/ds/spectrobes-beyond-the-portals,https://static.metacritic.com/images/products/games/7/d976a90ffcaa2b66427cc0f05073d42d-98.jpg
Gunpey DS,70,tbd,DS,November 17, 2006,/game/ds/gunpey-ds,https://static.metacritic.com/images/products/games/9/b4f2ee207d80a25b745566673b8f5c33-98.jpg
Scurge: Hive,70,7.4,DS,November 1, 2006,/game/ds/scurge-hive,https://static.metacritic.com/images/products/games/4/34d3fb875a36bca2f3dc222af5c6bd60-98.jpg
Nervous Brickdown,70,7.7,DS,June 26, 2007,/game/ds/nervous-brickdown,https://static.metacritic.com/images/products/games/1/015c82e0bd7e2b08349390e3f0da23d7-98.jpg
The Sims 2,70,6.0,DS,October 24, 2005,/game/ds/the-sims-2,https://static.metacritic.com/images/products/games/5/a9065d323de1277e5ac2a273c4d1ad2b-98.jpg
