NO MORE HEROES;83;8.5;Ubisoft;Grasshopper Manufacture;Jan 22, 2008;No More Heroes tells the story of Travis Touchdown, an anime fan who lives in the fictional town of Santa Destroy, California. After an unexpected turn of events, Travis finds himself at the bottom of an Assassins' organization. Travis will have to prove himself worthy and defeat 10 other… Expand;64 ;Action,Beat-'Em-Up,Beat-'Em-Up,3D
MLB POWER PROS;83;8.0;2K Sports;Konami;Oct 3, 2007;MLB Power Pros delivers an original visual style to America’s favorite pastime. Every MLB player is represented in the "Power Pro" character style - a miniature toy-like figurine model. Gamers will recognize their favorite Baseball stars through comic usage of facial expressions, facial… Expand;12 ;Sports,Traditional,Team,Baseball,Arcade,Arcade
MEGA MAN 9;83;8.3;Capcom;Inti Creates;Sep 22, 2008;[WiiWare] Mega Man fans, the wait is over! The classic Blue Bomber that debuted in 1987 is back with the ninth installment in the classic series. It's a new adventure for Mega Man done in an 8-bit style-graphics, music and gameplay are all like you remember them. [Nintendo];29 ;Action,Platformer,Platformer,2D,2D
TALES OF MONKEY ISLAND CHAPTER 5: RISE OF THE PIRATE GOD;83;7.7;Telltale Games;Telltale Games;Feb 1, 2010;[WiiWare] Here's a shocking series finale that's sure to shiver your timbers. With the Monkey Island world in tatters at the conclusion of the fourth Tales of Monkey Island chapter, we were left to wonder: Who can save the Caribbean?! LeChuck is revealing surprising new characteristics yet… Expand;7 ;Adventure,General,3D,Fantasy,Third-Person,Fantasy
WARIOWARE: SMOOTH MOVES;83;7.5;Nintendo;Intelligent Systems;Jan 15, 2007;Wario and his pals learn fun, wacky moves after discovering a strange book and a mystical device called the Form Baton. Familiar characters from the WarioWare universe will return to this installment and some new ones will appear. Players must clear fast-paced sets of microgames, changing… Expand;61 ;Miscellaneous,Party,Party,Party / Minigame
RHYTHM HEAVEN FEVER;83;8.3;Nintendo;Nintendo;Feb 13, 2012;Known as "Beat the Beat: Rhythm Paradise" in the UK/EU. Feel the Beat and Get into the Rhythm Rhythm Heaven Fever promise to be the quirkiest, most charming rhythm game you and your friends will ever play.;56 ;Action,Miscellaneous,Rhythm,Music,Music
AND YET IT MOVES;83;7.7;Broken Rules;Broken Rules;Aug 23, 2010;And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper collage, you can jump, run and last but certainly not least: rotate the world. Learn how to apply the physical consequences of rotation to master the many tricky situations you may encounter.;26 ;Action,Platformer,Platformer,2D,2D
BULLY: SCHOLARSHIP EDITION;83;8.2;Rockstar Games;Rockstar Toronto;Mar 4, 2008;Both the Wii and Xbox 360 versions retain the wit and deep gameplay of the previously released PS2 title "Bully" and boasts additional new content. Bully: Scholarship Edition takes place in the fictional New England boarding school of Bullworth Academy and tells the story of 15-year-old… Expand;34 ;Action Adventure,Modern,Modern,Open-World
PRO EVOLUTION SOCCER 2008;83;8.2;Konami;Konami;Mar 18, 2008;PES 2008 has been redesigned to make incredible use of the motion-sensitive nature of the Wii's control system. The player has more control over the on-screen action than ever before, and in line with such advances, Konami has also unveiled an all-new pack design that conveys the unique… Expand;19 ;Sports,Traditional,Team,Soccer,Sim,Sim
CALL OF DUTY: WORLD AT WAR;83;7.6;Activision;Exakt;Nov 10, 2008;Utilizing the Call of Duty 4: Modern Warfare engine, Call of Duty: World at War throws out the rulebook of war to transform WWII combat through a new enemy, new tactics and an uncensored experience of the climatic battles that gripped a generation. As U.S. Marines and Russian soldiers,… Expand;19 ;Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE EPISODE 5: 8-BIT IS ENOUGH;83;7.6;Telltale Games;Telltale Games;Dec 15, 2008;[WiiWare] Trogdor, the beefy-armed dragon of legend, has shaken free from his video game and is running through the countryside, "burninating" everything in sight. With a dragon on the loose and 8-bit classics leaking into the real world, it's all fun and games until the proud land of… Expand;14 ;Miscellaneous,Adventure,General,Compilation
DEAD SPACE: EXTRACTION;82;7.9;Electronic Arts;Eurocom Entertainment Software;Sep 29, 2009;Built from the ground up and developed exclusively for the Wii, Dead Space Extraction is a prequel that reveals the events leading up to Isaac Clarke’s mission on the USG Ishimura in the original Dead Space game released in 2008. Dead Space Extraction marries the innovative motion controls… Expand;76 ;Action,Action Adventure,Horror,Horror,Shooter,Light Gun
MOTOHEROZ;82;7.5;RedLynx;RedLynx;Sep 15, 2011;MotoHeroz is a side-scrolling platform racer game for WiiWare.;16 ;Driving,Racing,Arcade,Arcade,Automobile
TRAUMA TEAM;82;8.2;Atlus;Atlus;May 18, 2010;Trauma Team is an entirely new medical entertainment experience from the makers of the award-winning Trauma Center series. Encounter unprecedented depth across six distinct fields of medicine: play as a general surgeon, diagnostician, E.M.T., orthopedic surgeon, endoscope technician, and… Expand;29 ;Action,Simulation,Miscellaneous,General,Puzzle,General,Virtual,General,Career
PINBALL HALL OF FAME: THE WILLIAMS COLLECTION;82;8.1;Crave;Farsight Studios;Feb 26, 2008;Pinball Hall of Fame: The Williams Collection faithfully recreates eight of the most memorable tables from the golden age of pinball in photorealistic 3D. Working closely with Williams to ensure authenticity of each of the games, the collection is highlighted by some of the most popular and… Expand;16 ;Action,Miscellaneous,Parlor,Pinball,Pinball
NYXQUEST: KINDRED SPIRITS;82;8.2;Over the Top Games;Over the Top Games;Aug 10, 2009;[WiiWare; also known as "Icarian: Kindred Spirits"] Experience the awesome story of Nyx, an enigmatic winged girl who must descend from heaven in search of her missing friend, Icarus. Fly over the ruins of ancient Greece and avoid falling into blazing sands or perishing in the claws of… Expand;21 ;Action,Platformer,Platformer,2D,2D
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE EPISODE 2: STRONG BADIA THE FREE;82;7.9;Telltale Games;Telltale Games;Sep 15, 2008;[WiiWare] Strong Badia the Free is the second of five monthly episodes starring Strong Bad-the self-proclaimed "coolest person ever"-and the rest of the cast from the popular Homestar Runner Web cartoons. When Strong Bad fails to obey the King of Town's totally unfair e-mail tax, he's… Expand;16 ;Miscellaneous,Adventure,General,Compilation
MARIO KART WII;82;8.4;Nintendo;Nintendo;Apr 27, 2008;Mario Kart Wii comes with the intuitive Wii Wheel, which makes it easy for novices to compete against veterans, so no one is left in the dust. And with a broadband hookup to Nintendo Wi-Fi Connection, players can compete with up to 11 other drivers from around the world for racing dominance.… Expand;73 ;Driving,Racing,Arcade,Kart,Kart,Automobile
ART STYLE: ORBIENT;82;8.2;Nintendo;Nintendo;Sep 29, 2008;[WiiWare] Explore the universe like never before in Art Style: ORBIENT. Take control of gravity and anti-gravity and carefully maneuver your small star through 50 stages set in multiple galaxies. Collide with other stars to absorb them and make your own star expand in size, or capture the… Expand;11 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
MADDEN NFL 09 ALL-PLAY;82;7.4;Electronic Arts;EA Tiburon;Aug 12, 2008;Madden NFL 09 All-Play features fun, approachable and innovative gameplay by unleashing the power of the Wii Remote through the all-new EA SPORTS Call Your Shots feature. Call Your Shots allows the player to create his or her own plays on the fly and direct receivers where they should run.… Expand;19 ;Sports,Traditional,Team,Football,Sim,Sim
PRO EVOLUTION SOCCER 2010;82;8.1;Konami;Konami;Nov 10, 2009;PES 2010 focuses on enhancing the excitement of matches between players, making for a truly challenging experience that constantly tests the player. Intuitive zonal defending covers spaces and players need to look constantly for new ways to attack. PES 2010 focuses on being a real soccer… Expand;13 ;Sports,Traditional,Team,Football,Soccer,Sim,Sim,Sim
DE BLOB;82;8.2;THQ;Blue Tongue Entertainment;Sep 22, 2008;As de Blob, the player uses the city as a playground by rolling and bouncing through the streets crushing as many Leech Bots as possible. The Leech Bots are the machines/creatures that extract color from the city and carry this "liquid color" inside them. To restore color to the city de Blob… Expand;48 ;Action,Platformer,Platformer,3D,3D
MEGA MAN 10;81;8.4;Capcom;Inti Creates;Mar 1, 2010;[WiiWare] Fans of all ages can enjoy the newest entry in this historic 8-bit franchise. As a special service to new players, there's an Easy Mode – a first for a Mega Man game. This new feature means novices and longtime fans alike can all have a shot at making it to the end of a Mega Man… Expand;31 ;Action,Platformer,Platformer,2D,2D
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE EPISODE 4: DANGERESQUE 3: THE CRIMINAL PROJECTIVE;81;8.6;Telltale Games;Telltale Games;Nov 17, 2008;[WiiWare] Move over, generically buff action heroes. Strong Bad is here to show you how it's done in his hand-crafted cinematic masterpiece, Dangeresque 3: The Criminal Projective. You play Dangeresque, a dirty cop in pursuit of a little action and several big sacks of cash. Can our hero… Expand;14 ;Miscellaneous,Adventure,General,Compilation
DAWN OF DISCOVERY;81;8.1;Ubisoft;Keen Games;Jun 23, 2009;(Also known as "Anno 1404: Dawn of Discovery" and "Anno: Create a New World") Dawn of Discovery takes place in the year 1404, when King George's land is suffering from severe droughts and brutal famine. Aware of his people's distress, the king calls on his two sons, William and Edward, to… Expand;24 ;Simulation,Strategy,Real-Time,General,General,Historic
BIT.TRIP FLUX;81;7.7;Aksys Games;Gaijin Games;Feb 28, 2011;Bit.Trip Flux is the final adventure for CommanderVideo.;15 ;Action,Miscellaneous,Rhythm,Music,Music
