355;Fantasy
356;Action Adventure
356;Fantasy
356;General
356;Fantasy
356;Open-World
357;Action
357;Platformer
357;Platformer
357;2D
357;2D
358;Action
358;Miscellaneous
358;Rhythm
358;Music
358;Music
359;Simulation
359;Miscellaneous
359;Virtual Life
359;Virtual Life
359;Virtual
359;Pet
360;Action
360;Platformer
360;Platformer
360;2D
360;2D
361;Strategy
361;Turn-Based
361;Fantasy
361;General
361;Fantasy
362;Simulation
362;Miscellaneous
362;Virtual Life
362;Virtual Life
362;Virtual
362;Pet
363;Role-Playing
363;Console-style RPG
363;Console-style RPG
363;Trainer
364;Miscellaneous
364;General
364;General
365;Miscellaneous
365;Music Maker
365;Music Maker
365;Application
366;Simulation
366;Strategy
366;Real-Time
366;General
366;General
366;Historic
367;Action
367;Platformer
367;Platformer
367;2D
367;2D
368;Strategy
368;Turn-Based
368;Fantasy
368;Fantasy
368;Tactics
369;Role-Playing
369;Action RPG
369;Action RPG
370;Simulation
370;Miscellaneous
370;Virtual Life
370;Virtual
370;Virtual Life
371;Action
371;Platformer
371;Platformer
371;2D
371;2D
372;Action Adventure
372;Fantasy
372;General
372;Fantasy
373;Action
373;Shooter
373;Shooter
373;Scrolling
373;Scrolling
373;Shoot-'Em-Up
373;Vertical
374;Action
374;Platformer
374;Platformer
374;2D
374;2D
375;Action
375;Platformer
375;Platformer
375;2D
375;2D
376;Role-Playing
376;First-Person
376;First-Person
376;Western-Style
377;Miscellaneous
377;Puzzle
377;Puzzle
377;Puzzle
377;Matching
377;Matching
378;Action Adventure
378;Adventure
378;General
378;Horror
378;3D
378;Visual Novel
378;First-Person
378;Modern
378;Modern
379;Action
379;Fighting
379;Fighting
379;2D
379;2D
380;Strategy
380;Real-Time
380;Sci-Fi
380;Sci-Fi
380;Defense
381;Miscellaneous
381;Music Maker
381;Music Maker
381;Application
382;Miscellaneous
382;Puzzle
382;Puzzle
382;General
382;Puzzle
382;Party / Minigame
382;General
383;Miscellaneous
383;Puzzle
383;Action
383;Puzzle
383;Action
384;Action
