PEGGLE: DUAL SHOT;84;7.8;DS;PopCap;Q Entertainment;Feb 27, 2009;Shoot and clear the orange pegs from 120 levels spanning two full Adventure modes including 10 all-new levels in the exclusive Bonus Underground. Wield 11 Magic Powers, score amazing style shots, and collect valuable gems and power-ups in the Bonus Underground. And the action doesn’t stop… Expand;17 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action
TETRIS DS;84;7.9;DS;Nintendo;Nintendo;Mar 20, 2006;10 DS players can battle with only one Tetris DS card. Each of the six modes of play features a theme based on a classic Nintendo game, such as Super Mario Bros., The Legend of Zelda or Metroid. The traditional Tetriminos (falling blocks) and line-clearing strategy remain the staples of the… Expand;56 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Stacking,Stacking
SHIN MEGAMI TENSEI: DEVIL SURVIVOR;84;4.5;DS;Atlus;Atlus;Jun 23, 2009;Tokyo is in full lockdown, the government's swift, coldblooded response to a surprise demon invasion. Trapped within the sprawling metropolis is the city's helpless populace, forced to turn on each other in order to survive. A mysterious piece of technology, the COMP, falls into the hands… Expand;28 ;Role-Playing,Strategy,Turn-Based,General,General,Tactics
PROFESSOR LAYTON AND THE DIABOLICAL BOX;84;8.6;DS;Nintendo;Level 5;Aug 24, 2009;(Also known as "Professor Layton and Pandora's Box) Professor Layton needs your help! Get your wits working with over 150 puzzles, and help unravel the mystery of the Elysian Box. [Nintendo];65 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
DARK VOID ZERO;84;7.2;DS;Capcom;Other Ocean Interactive;Jan 18, 2010;[DSiWare] As the '80s were drawing to a close, the developers at Capcom began work on a top-secret project that aimed to set new standards for the platformer genre. That game was called Dark Void. Alas, Capcom suspended development on Dark Void as it began to evaluate the SNES. Before long,… Expand;14 ;Action,Platformer,Platformer,2D,2D
TONY HAWK'S AMERICAN SK8LAND;84;7.8;DS;Activision;Vicarious Visions;Nov 16, 2005;No levels. No load times. Just never-ending action that doesn't stop until you leave the game. Tony Hawk's American Wasteland gives you - for the first time ever in a Hawk game - the freedom to skate, or bike, throughout a rich, expansive open environment. Once you arrive in Los Angeles, the… Expand;31 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
DRAGON QUEST V: HAND OF THE HEAVENLY BRIDE;84;8.6;DS;Square Enix;ArtePiazza;Feb 16, 2009;This entry in the Zenithia Trilogy follows a journey that transcends three generations. Travel alongside your father on his quest to see the world, grow to set forth on a journey of your own and face life-altering decisions as you continue your family’s legacy. [Square Enix];46 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
GHOST TRICK: PHANTOM DETECTIVE;83;9.7;DS;Capcom;Capcom;Jan 11, 2011;Ghost Trick is a story of mystery and intrigue that blends fun logic puzzles with the world of the supernatural, making for an entirely new and unique experience in the handheld gaming space. Part adventure game, part puzzle game, Ghost Trick's gameplay will challenge player's brains while… Expand;60 ;Adventure,General,General
BANGAI-O SPIRITS;83;7.8;DS;D3Publisher;Treasure;Aug 12, 2008;Bangai-O Spirits provides gamers with addictive shooter gameplay, punishing supermoves and a sensory overload of fireworks onscreen, with strategic and tactical elements and TREASURE’s quirky design style. The game also offers co-op, competitive multiplayer for 1-4 players via local… Expand;38 ;Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical
BLEACH: THE BLADE OF FATE;83;7.3;DS;Sega;Treasure;Oct 9, 2007;(Also known as "Bleach DS") Players face a variety of opponents as one of 28 highly-stylized characters in intense action-packed battles based on the animated series. Bleach: The Blade of Fate on the Nintendo DS brings a twist to the traditional 2D fighting game with a new kind of battle… Expand;32 ;Action,Fighting,Fighting,2D,2D
PICROSS DS;83;8.0;DS;Nintendo;Jupiter Corporation;Jul 30, 2007;Like finding the underlining 'picture' in a 'crossword puzzle', the goal in Picross DS is to fill a grid with squares and crosses in order to 'paint' a picture. Numbers at the head of the puzzles' columns and rows signify how the grids need to be filled out, but it will take a sharp mind to… Expand;33 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic
CLUBHOUSE GAMES;83;7.9;DS;Nintendo;Agenda;Oct 9, 2006;(Known in the UK/EU as "42 All-Time Classics") It's game night and everyone’s invited. Play more than 20 classic board, card and party games alone, with friends or via Nintendo Wi-Fi Connection. With familiar favorites like checkers, darts and poker, Clubhouse Games is for everyone and part… Expand;30 ;Miscellaneous,Board Games,Board Games,Board / Card Game,Party / Minigame
PICROSS 3D;83;8.1;DS;Nintendo;HAL Labs;May 3, 2010;Picross 3D is the sequel to the popular Picross DS puzzle game. The original game was a number-based grid puzzle that challenged players to reveal a hidden picture. Picross 3D moves the action into three dimensions. Picross 3D blends the logical challenge of a sudoku puzzle with the… Expand;35 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic
MIGHTY FLIP CHAMPS!;83;7.7;DS;WayForward;WayForward;Jun 1, 2009;[DSiWare] Are you ready to become a Mighty Flip Champ? Take control of Alta and page-flip through a series of action-packed mazes. The touch screen reflects a preview of the next chamber and shows Alta's projected destination within it. When it's time to flip, use Alta's Magical Warp Wand… Expand;9 ;Puzzle,Action,General,General
NINTENDOGS: CHIHUAHUA & FRIENDS;83;8.0;DS;Nintendo;Nintendo;Aug 22, 2005;Players care for and train their puppy by petting it, walking it and buying it supplies to play with. As a puppy competes in obedience and agility trials, owners can win money to purchase other puppy breeds. The pups will vary in gender, coloration and personality. Players purchase one of… Expand;55 ;Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet
ART STYLE: PICTOBITS;83;7.6;DS;Nintendo;Nintendo;May 18, 2009;[DSiWare. Also known as "Art Style: PiCOPiCT"] Your goal in Art Style: PiCTOBiTS is simple: clear large blocks that fall from above ("megabits") by combining them with "bits" (square blocks) of the same color. Add in the ability to pick up bits and place them anywhere on the touch screen,… Expand;9 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching
PROFESSOR LAYTON AND THE LAST SPECTER;83;8.3;DS;Nintendo;Level 5;Oct 18, 2011;Professor Layton and The Devil Flute is the fourth game in the puzzling series.;58 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
NINTENDOGS: LAB & FRIENDS;83;7.6;DS;Nintendo;Nintendo;Aug 22, 2005;Players care for and train their puppy by petting it, walking it and buying it supplies to play with. As a puppy competes in obedience and agility trials, owners can win money to purchase other puppy breeds. The pups will vary in gender, coloration and personality. Players purchase one of… Expand;54 ;Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet
NINJA GAIDEN: DRAGON SWORD;83;7.8;DS;Tecmo;Team Ninja;Mar 25, 2008;Uncover all the mysteries of Ninja Gaiden Dragon Sword as you fight enemy ninjas and battle various fiends while taking on the role of Master Ninja, Ryu Hayabusa, in an all new storyline for the Nintendo DS. Innovative DS Stylus Functionality: Smoothly maneuver and fight through levels with… Expand;52 ;Action Adventure,Fantasy,General,Fantasy
DRAGON QUEST HEROES: ROCKET SLIME;83;7.8;DS;Square Enix;Square Enix;Sep 19, 2006;(Known in Japan as "Slime Mori Mori Dragon Quest 2") The hero of this action-adventure is a slime—one of the most popular monsters from the Dragon Quest series. The game is set in the kingdom of Slimenia, a peaceful land that is suddenly invaded by a mysterious cartel called "the Plob," who… Expand;41 ;Action Adventure,Fantasy,General,Fantasy,Open-World
CONTRA 4;83;8.0;DS;Konami;WayForward;Nov 13, 2007;Contra 4 takes place two years after "Contra III: The Alien Wars," first released on the Super Nintendo in 1992. Heroes Bill and Lance again must team up to take down an oncoming alien invasion and its leader, Black Viper. Contra 4 features the same style of 2D side-scrolling gameplay that… Expand;38 ;Action,Platformer,Platformer,2D,2D
RHYTHM HEAVEN;83;8.4;DS;Nintendo;Nintendo;Apr 5, 2009;(Also known as "Rhythm Paradise") Rhythm Heaven is a simple and infectious rhythm game that anyone can play. If you can tap your finger in time to music, you'll get the hang of Rhythm Heaven in no time. Players hold the Nintendo DS system sideways like a book and tap their stylus on the… Expand;48 ;Action,Miscellaneous,Rhythm,Music,Music
NINTENDOGS: DALMATIAN & FRIENDS;83;7.4;DS;Nintendo;Nintendo;Oct 16, 2006;Go dotty for Nintendogs Dalmatian & Friends edition. The highly desirable Dalmatian is availalbe from the start. plus own teh most popular pups from previous editions: Boxer, German Shepherd, Golden Retriever, Yorkshire Terrier, Beagle and more. Link up with friends in Bark Mode and give… Expand;7 ;Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet
KIRBY MASS ATTACK;83;8.1;DS;Nintendo;HAL Labs;Sep 19, 2011;One day, an evildoer with a magic cane appears and splits Kirby into 10 pieces. Kirby sets off on a journey to return to his original form. Players use the touch screen to control a mass of Kirby characters in a new and novel way. Swipe the touch screen to launch them in a mass attack… Expand;46 ;Action,Platformer,Platformer,2D,2D
DRAGON QUEST WARS;83;5.6;DS;Square Enix;Intelligent Systems;Sep 28, 2009;[DSiWare] DRAGON QUEST WARS is a grid-based strategy game featuring all of your favorite quirky DRAGON QUEST monsters. Choose from several modes and get ready for battle. While the rules are simple, strategy is the key to victory. The game features single-player and DS Wireless Play, as… Expand;8 ;Strategy,Turn-Based,Fantasy,General,Fantasy
NINTENDOGS: DACHSHUND & FRIENDS;83;7.9;DS;Nintendo;Nintendo;Aug 22, 2005;Players care for and train their puppy by petting it, walking it and buying it supplies to play with. As a puppy competes in obedience and agility trials, owners can win money to purchase other puppy breeds. The pups will vary in gender, coloration and personality. Players purchase one of… Expand;53 ;Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet
POKEMON PLATINUM VERSION;83;8.9;DS;Nintendo;Game Freak;Mar 22, 2009;As the story unfolds, players encounter the mysterious new Distortion World, an area unlike any seen in a Pokemon video game before. The Battle Frontier area (first introduced in Pokemon Emerald) has been added to Sinnoh, containing five new Battle Facilities for Trainers to challenge, each… Expand;46 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
WARIOWARE D.I.Y.;82;8.2;DS;Nintendo;Intelligent Systems;Mar 28, 2010;The WarioWare: D.I.Y. game lets players create the same kind of microgames that are the hallmark of the WarioWare series. Players design every aspect of their creations, including graphics, animation, music and rules. Do It Yourself! Take on the role of game designer and create your own… Expand;53 ;Miscellaneous,General,General
KORG DS-10 SYNTHESIZER;82;8.2;DS;XSEED Games;AQ Interactive;Nov 4, 2008;Designed after the famous KORG MS-10 music synthesizer, KORG DS-10 is a music-creation program for professional and aspiring musicians alike. The sound sources in the KORG DS-10 come from KORG, one of the world’s top musical instrument producers, and no effort was spared in the replication… Expand;11 ;Miscellaneous,Music Maker,Music Maker,Application
DAWN OF DISCOVERY;82;7.3;DS;Ubisoft;Keen Games;Jun 17, 2009;(Also known as "Anno 1404: Dawn of Discovery") Dawn of Discovery takes place in the year 1404, when King George's land is suffering from severe droughts and brutal famine. Aware of his people's distress, the king calls on his two sons, William and Edward, to acquire new territories in order… Expand;11 ;Simulation,Strategy,Real-Time,General,General,Historic
MARIO VS. DONKEY KONG: MINIS MARCH AGAIN!;82;8.0;DS;Nintendo;Nintendo;Jun 8, 2009;[DSiWare] Thanks to the runaway success of Super Mini Mario World, Mario and Pauline have expanded their toy-filled theme park and invited everyone to the opening celebration – everyone, that is, except Donkey Kong, who was too late to get in. Donkey Kong decides to crash the party and… Expand;12 ;Action,Platformer,Platformer,2D,2D
DISGAEA DS;82;7.9;DS;NIS America;Nippon Ichi Software;Sep 23, 2008;Completely remade to take advantage of Nintendo DS, Disgaea DS offers a deep strategy RPG experience with an exceptional story, a fantastic script, and a host of loveable characters and settings. An all-new story focus means a completely different experience for the player, not to mention a… Expand;32 ;Strategy,Turn-Based,Fantasy,Fantasy,Tactics
LUNAR KNIGHTS;82;7.8;DS;Konami;Kojima Productions;Feb 6, 2007;Descend into the gothic Sci-Fi world of Lunar Knights and take control of two warriors on a quest to reclaim the world from the vampiric legion. Spin together tornados, guide down flaming meteors, and blow together snowstorms in Kojima Productions first ever title on the DS. Two different… Expand;39 ;Role-Playing,Action RPG,Action RPG
VIVA PINATA: POCKET PARADISE;82;7.5;DS;THQ;Rare Ltd.;Sep 8, 2008;In Viva Pinata: Pocket Paradise, players inherit a neglected garden on Pinata Island and turn it into a pinata paradise by tending to all aspects of cleaning the garden, growing and maintaining vegetation, caring for and breeding pinatas, as well as attracting new pinata species. The game… Expand;34 ;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life
HENRY HATSWORTH IN THE PUZZLING ADVENTURE;82;8.0;DS;Electronic Arts;EA Tiburon;Mar 17, 2009;Meet Henry Hatsworth, a quirky, light-hearted character who players will guide on their journey through a new style of gaming adventure on their Nintendo DS. In this two-in-one adventure, players explore five exotic worlds, fight a variety of opponents, and venture through more than 30… Expand;46 ;Action,Platformer,Platformer,2D,2D
OKAMIDEN;82;8.2;DS;Capcom;Capcom;Mar 10, 2011;Taking place many months after the events of Okami, Okamiden follows the adventures of Chibiterasu - a young sun god who is summoned to protect and restore the land. Armed with a majestic celestial brush and a vibrant cast of partners with unique powers and abilities, this little god is… Expand;48 ;Action Adventure,Fantasy,General,Fantasy
SPACE INVADERS EXTREME 2;82;7.4;DS;Square Enix;Taito Corporation;Oct 19, 2009;Shoot, attack and stave off the assault by defeating all the Invaders on the screen. After annihilating a battalion of Invaders and defeating the Boss, players move on to the next stage. But it’s "Game Over" if players lose all of their stock cannons! [Square Enix];38 ;Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical
SONIC RUSH;82;8.1;DS;Sega;Dimps Corporation;Nov 15, 2005;Everyone's favorite blue dude with 'tude, Sonic the Hedgehog, blasts his way onto the Nintendo DS and takes high-speed action gaming to a new level...literally! Sonic pairs up with royalty - Queen, Blaze the Cat - from another dimension to save the universe from utter destruction. Sonic Rush… Expand;43 ;Action,Platformer,Platformer,2D,2D
